,symbol,data,data_weights,model_name,val_mse,test_mse,test_mae,test_mape
0,BTC,real_only,,LSTM,0.0015013267984613776,0.0011567523470148444,0.023731358349323273,3.2697396278381348
1,BTC,real_only,,BD_LSTM,0.001490789814852178,0.001135404221713543,0.023414360359311104,3.2163851261138916
2,BTC,real_only,,TCN,0.00643225759267807,0.005646092351526022,0.06111561879515648,8.219615936279297
3,ETH,real_only,,LSTM,0.0018808037275448442,0.0021551980171352625,0.032184138894081116,4.501514434814453
4,ETH,real_only,,BD_LSTM,0.0018959958106279373,0.0021763888653367758,0.03253982216119766,4.546897888183594
5,ETH,real_only,,TCN,0.006942647974938154,0.007567885797470808,0.06969712674617767,9.627405166625977
6,XRP,real_only,,LSTM,0.002105408115312457,0.0011846445268020034,0.02409595623612404,4.96792459487915
7,XRP,real_only,,BD_LSTM,0.002092842012643814,0.0011809762800112367,0.02408422902226448,4.974642753601074
8,XRP,real_only,,TCN,0.003100571921095252,0.002047098008915782,0.0339813157916069,6.737035751342773
9,BTC,SB,1.0,LSTM,0.0014883199473842978,0.0011426947312429547,0.023489898070693016,3.2354960441589355
10,BTC,SB,1.0,BD_LSTM,0.0014815636677667499,0.0011301720514893532,0.02330837957561016,3.2002928256988525
11,BTC,SB,1.0,TCN,0.001480119419284165,0.0011325035011395812,0.023326389491558075,3.2078640460968018
12,BTC,SB,10.0,LSTM,0.0014952782075852156,0.0011416623601689935,0.02352285571396351,3.2279934883117676
13,BTC,SB,10.0,BD_LSTM,0.0014951745979487896,0.0011423343094065785,0.023541800677776337,3.2344400882720947
14,BTC,SB,10.0,TCN,0.0014814797323197126,0.0011295072035863996,0.023313062265515327,3.2003977298736572
15,BTC,SB,50.0,LSTM,0.001527532353065908,0.0011624889448285103,0.023946711793541908,3.269894599914551
16,BTC,SB,50.0,BD_LSTM,0.001529426546767354,0.0011876015923917294,0.024219602346420288,3.339358329772949
17,BTC,SB,50.0,TCN,0.0014836433110758662,0.001130850170738995,0.023337097838521004,3.200666666030884
18,ETH,SB,1.0,LSTM,0.00187649333383888,0.0021650444250553846,0.032309722155332565,4.5073933601379395
19,ETH,SB,1.0,BD_LSTM,0.0018871589563786983,0.0021594949066638947,0.03226492181420326,4.515568256378174
20,ETH,SB,1.0,TCN,0.0018687918782234192,0.0021674635354429483,0.032388344407081604,4.512088298797607
21,ETH,SB,10.0,LSTM,0.0018898992566391826,0.002151720691472292,0.03217822685837746,4.5153703689575195
22,ETH,SB,10.0,BD_LSTM,0.001881722011603415,0.0021677641198039055,0.03237314149737358,4.5184125900268555
23,ETH,SB,10.0,TCN,0.0018630740232765675,0.0021644672378897667,0.03237473592162132,4.520204544067383
24,ETH,SB,50.0,LSTM,0.0018910879734903574,0.002180038718506694,0.03257279470562935,4.540595054626465
25,ETH,SB,50.0,BD_LSTM,0.001937850727699697,0.0021948579233139753,0.032967619597911835,4.633312702178955
26,ETH,SB,50.0,TCN,0.0018679487984627485,0.0021634248550981283,0.032317109405994415,4.507371425628662
27,XRP,SB,1.0,LSTM,0.0020921931136399508,0.0011838386999443173,0.024140436202287674,4.989553451538086
28,XRP,SB,1.0,BD_LSTM,0.002089832443743944,0.001181064173579216,0.024134570732712746,4.991491317749023
29,XRP,SB,1.0,TCN,0.002086942782625556,0.0011675094719976187,0.023763561621308327,4.892797946929932
30,XRP,SB,10.0,LSTM,0.0021011875942349434,0.0011704517528414726,0.023767678067088127,4.890048980712891
31,XRP,SB,10.0,BD_LSTM,0.0020894957706332207,0.00118513114284724,0.02424168772995472,5.015464782714844
32,XRP,SB,10.0,TCN,0.0020883972756564617,0.0011705615324899554,0.02384943701326847,4.918842315673828
33,XRP,SB,50.0,LSTM,0.0021786107681691647,0.0012909607030451298,0.02585369534790516,5.357828140258789
34,XRP,SB,50.0,BD_LSTM,0.0021256827749311924,0.0011925825383514166,0.024101631715893745,4.948254108428955
35,XRP,SB,50.0,TCN,0.0020909684244543314,0.0011632790556177497,0.023627405986189842,4.859635829925537
36,BTC,QGAN,1.0,LSTM,0.0014870092272758484,0.0011381934164091945,0.023425646126270294,3.2231485843658447
37,BTC,QGAN,1.0,BD_LSTM,0.0014909675810486078,0.0011422880925238132,0.023491088300943375,3.2314136028289795
38,BTC,QGAN,1.0,TCN,0.0014816861366853118,0.001132416888140142,0.023322517052292824,3.206207752227783
39,BTC,QGAN,10.0,LSTM,0.001500347745604813,0.0011523185530677438,0.023681772872805595,3.2582528591156006
40,BTC,QGAN,10.0,BD_LSTM,0.0014811907894909382,0.001133181736804545,0.023355701938271523,3.207705497741699
41,BTC,QGAN,10.0,TCN,0.0014855028130114079,0.0011371673317626119,0.02339538186788559,3.2197940349578857
42,BTC,QGAN,50.0,LSTM,0.0015253368765115738,0.0011855870252475142,0.024206319823861122,3.3411831855773926
43,BTC,QGAN,50.0,BD_LSTM,0.0015121604083105922,0.0011782892979681492,0.024055229499936104,3.3235573768615723
44,BTC,QGAN,50.0,TCN,0.0014902050606906414,0.0011486849980428815,0.023574383929371834,3.2463488578796387
45,ETH,QGAN,1.0,LSTM,0.0019053927389904857,0.0021679853089153767,0.03246862441301346,4.555192947387695
46,ETH,QGAN,1.0,BD_LSTM,0.0019001270411536098,0.0021591896656900644,0.03231403976678848,4.5392937660217285
47,ETH,QGAN,1.0,TCN,0.0018755911150947213,0.002167819533497095,0.032366324216127396,4.509552955627441
48,ETH,QGAN,10.0,LSTM,0.0018722510430961847,0.002155083464458585,0.03216344118118286,4.490033149719238
49,ETH,QGAN,10.0,BD_LSTM,0.0018759127706289291,0.002153166336938739,0.03216630220413208,4.497658729553223
50,ETH,QGAN,10.0,TCN,0.0018706867704167962,0.0021516280248761177,0.03214498236775398,4.493060111999512
51,ETH,QGAN,50.0,LSTM,0.0019362799357622862,0.0021853623911738396,0.03279951587319374,4.617359161376953
52,ETH,QGAN,50.0,BD_LSTM,0.001898689428344369,0.002186069032177329,0.03266153112053871,4.554391384124756
53,ETH,QGAN,50.0,TCN,0.0018834220245480537,0.002162445802241564,0.03231962397694588,4.520340442657471
54,XRP,QGAN,1.0,LSTM,0.0021022609435021877,0.001221354934386909,0.024959178641438484,5.185683250427246
55,XRP,QGAN,1.0,BD_LSTM,0.002094781259074807,0.0011903139529749751,0.024281447753310204,5.024814605712891
56,XRP,QGAN,1.0,TCN,0.0021020688582211733,0.0012092138640582561,0.02444959618151188,5.060293674468994
57,XRP,QGAN,10.0,LSTM,0.0021178603637963533,0.0012423358857631683,0.02528892457485199,5.256906509399414
58,XRP,QGAN,10.0,BD_LSTM,0.0020973102655261755,0.0011982412543147802,0.024440892040729523,5.06129789352417
59,XRP,QGAN,10.0,TCN,0.002104077022522688,0.0012155581498518586,0.024631626904010773,5.112060070037842
60,XRP,QGAN,50.0,LSTM,0.002149867592379451,0.0012023732997477055,0.024202389642596245,4.958752632141113
61,XRP,QGAN,50.0,BD_LSTM,0.0021136619616299868,0.0011867763241752982,0.024039043113589287,4.942137241363525
62,XRP,QGAN,50.0,TCN,0.0020839544013142586,0.0011755627347156405,0.024025289341807365,4.963689804077148
63,BTC,TCVAE,1.0,LSTM,0.0014602587325498462,0.00111915182787925,0.02322474680840969,3.2243330478668213
64,BTC,TCVAE,1.0,BD_LSTM,0.0014573369408026338,0.001109318109229207,0.023076608777046204,3.1983673572540283
65,BTC,TCVAE,1.0,TCN,0.0014549478655681014,0.0011126177851110697,0.023117564618587494,3.207174062728882
66,BTC,TCVAE,10.0,LSTM,0.0014619415160268545,0.0011158020934090018,0.023206965997815132,3.215597152709961
67,BTC,TCVAE,10.0,BD_LSTM,0.0014589637285098433,0.001109579810872674,0.023079395294189453,3.1970160007476807
68,BTC,TCVAE,10.0,TCN,0.0014551979256793857,0.001112585887312889,0.02311200648546219,3.2067861557006836
69,BTC,TCVAE,50.0,LSTM,0.0014696012949571013,0.0011214923579245806,0.02331780642271042,3.226461887359619
70,BTC,TCVAE,50.0,BD_LSTM,0.0014788554981350899,0.0011312145506963134,0.023498287424445152,3.253105640411377
71,BTC,TCVAE,50.0,TCN,0.0014581256546080112,0.0011144980089738965,0.023164693266153336,3.2124381065368652
72,ETH,TCVAE,1.0,LSTM,0.0018494337564334273,0.0021259584464132786,0.03191446140408516,4.485008239746094
73,ETH,TCVAE,1.0,BD_LSTM,0.0018546581268310547,0.002132939640432596,0.03202814608812332,4.493092060089111
74,ETH,TCVAE,1.0,TCN,0.001851557637564838,0.0021406610030680895,0.032096706330776215,4.513676166534424
75,ETH,TCVAE,10.0,LSTM,0.0018556744325906038,0.0021260615903884172,0.03193902596831322,4.496285915374756
76,ETH,TCVAE,10.0,BD_LSTM,0.0018536936258897185,0.002128082560375333,0.03196749836206436,4.49652099609375
77,ETH,TCVAE,10.0,TCN,0.0018484393367543817,0.0021404940634965897,0.03207932412624359,4.497142791748047
78,ETH,TCVAE,50.0,LSTM,0.0018724201945587993,0.0021469395142048597,0.03227934613823891,4.535279273986816
79,ETH,TCVAE,50.0,BD_LSTM,0.0018694328609853983,0.0021420354023575783,0.032229647040367126,4.530575275421143
80,ETH,TCVAE,50.0,TCN,0.0018457992700859904,0.0021334749180823565,0.032044894993305206,4.492128372192383
81,XRP,TCVAE,1.0,LSTM,0.0020574929658323526,0.0011428280267864466,0.02341262623667717,4.767370700836182
82,XRP,TCVAE,1.0,BD_LSTM,0.0020488426089286804,0.0011500403052195907,0.02366630919277668,4.83209228515625
83,XRP,TCVAE,1.0,TCN,0.0020649682264775038,0.0011454755440354347,0.023602033033967018,4.813884735107422
84,XRP,TCVAE,10.0,LSTM,0.0020606282632797956,0.0011499422835186124,0.023583462461829185,4.806685447692871
85,XRP,TCVAE,10.0,BD_LSTM,0.0020413279999047518,0.0011635394766926765,0.02402174100279808,4.921871185302734
86,XRP,TCVAE,10.0,TCN,0.002053073840215802,0.0011367738479748368,0.023308221250772476,4.739130020141602
87,XRP,TCVAE,50.0,LSTM,0.0020657586865127087,0.001154970028437674,0.023644598200917244,4.8178911209106445
88,XRP,TCVAE,50.0,BD_LSTM,0.0020797443576157093,0.00116348871961236,0.023709736764431,4.817360877990723
89,XRP,TCVAE,50.0,TCN,0.002043729182332754,0.0011729926336556673,0.02415841817855835,4.9402995109558105
